Log#,Incident Date & Time,District of Occurrence,COPA Notification Date,Transparency Release Date,Closed Date,FSR/Memo Posted Date,case_url,pdf_available,pdf_url
2022-0000532,02/08/2022 8:16 pm,06,02/14/2022,,08/14/2023,01/25/2024,https://www.chicagocopa.org/case/2022-0000532/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2022-0000532_FSR.pdf
2019-0003826,09/23/2019 10:15 am,25,09/23/2019,,10/31/2023,01/25/2024,https://www.chicagocopa.org/case/2019-0003826/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2019-0003826_FSR.pdf
2021-0004151,10/02/2021 12:00 am,01,10/20/2021,,10/31/2023,01/25/2024,https://www.chicagocopa.org/case/2021-0004151/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2021-0004151_FSR.pdf
2022-0003663,08/27/2022 6:33 pm,01,09/14/2022,,10/31/2023,01/25/2024,https://www.chicagocopa.org/case/2022-0003663/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2022-0003663_FSR.pdf
2022-0005382,11/28/2022 6:26 pm,Other,12/21/2022,,10/31/2023,01/18/2024,https://www.chicagocopa.org/case/2022-0005382/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2022-0005382_FSR.pdf
2019-0004384,10/28/2019 5:52 pm,09,10/28/2019,,01/23/2023,01/11/2024,https://www.chicagocopa.org/case/2019-0004384/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2019-0004384_FSR.pdf
2020-0002623,06/11/2020 2:00 am,19,06/11/2020,,10/30/2023,01/11/2024,https://www.chicagocopa.org/case/2020-0002623/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2020-0002623_FSR.pdf
2023-0002235,05/25/2023 9:10 am,11,05/25/2023,,10/30/2023,01/11/2024,https://www.chicagocopa.org/case/2023-0002235/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2023-0002235_FSR-1.pdf
2022-0002705,06/28/2022 12:42 am,12,06/28/2022,,10/31/2023,01/11/2024,https://www.chicagocopa.org/case/2022-0002705/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2022-0002705_FSR.pdf
2019-0000583,03/27/2019 6:39 pm,11,03/29/2019,,10/31/2023,01/11/2024,https://www.chicagocopa.org/case/2019-0000583/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2019-0000583_FSR.pdf
