Log#,Incident Date & Time,District of Occurrence,COPA Notification Date,Transparency Release Date,Closed Date,FSR/Memo Posted Date,case_url,pdf_available,pdf_url
2019-0002912,07/25/2019 1:55 am,10,07/31/2019,,08/31/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0002912/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2019-1092491,01/25/2019 4:15 pm,06,01/28/2019,,07/28/2020,09/28/2023,https://www.chicagocopa.org/case/2019-1092491/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2015-1076878,04/25/2015 9:48 am,05,08/26/2015,,10/20/2016,11/17/2016,https://www.chicagocopa.org/case/2015-1076878/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2021-0000631,02/21/2021 11:20 am,8,02/21/2021,,03/22/2023,05/04/2023,https://www.chicagocopa.org/case/2021-0000631/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2015-1077172,09/16/2015 5:09 pm,2,09/16/2015,,01/19/2018,04/20/2023,https://www.chicagocopa.org/case/2015-1077172/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2015-1073976,02/27/2018 3:30 am,6,02/28/2015,,02/14/2018,04/20/2023,https://www.chicagocopa.org/case/2015-1073976/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1088075,01/09/2018 2:00 am,7,01/09/2018,,02/19/2018,04/20/2023,https://www.chicagocopa.org/case/2018-1088075/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1092019,12/09/2018 10:51 am,11,12/17/2018,,11/15/2022,04/06/2023,https://www.chicagocopa.org/case/2018-1092019/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1087762,12/07/2017 12:20 pm,14,12/07/2017,,01/17/2019,02/25/2019,https://www.chicagocopa.org/case/2017-1087762/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1091820,11/24/2018 6:00 pm,7,11/26/2018,,12/14/2022,03/16/2023,https://www.chicagocopa.org/case/2018-1091820/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1085957,03/21/2015 12:10 am,24,07/17/2017,,02/28/2018,03/13/2018,https://www.chicagocopa.org/case/1085957/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2019-0005064,12/12/2019 7:20 pm,05,12/12/2019,,03/31/2022,01/26/2023,https://www.chicagocopa.org/case/2019-0005064/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1079689,03/13/2016 6:22 pm,15.0,03/17/2016,,05/15/2018,06/04/2018,https://www.chicagocopa.org/case/1079689/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1087192,09/05/2017 8:55 am,11.0,10/20/2017,,08/30/2018,11/29/2018,https://www.chicagocopa.org/case/1087192/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1081034,06/16/2016 12:06 pm,5.0,06/17/2016,,11/28/2017,01/12/2023,https://www.chicagocopa.org/case/1081034/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1090517,07/31/2018 1:12 pm,10,08/03/2018,,08/31/2022,11/04/2022,https://www.chicagocopa.org/case/2018-1090517/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1086830,09/17/2017 4:30 pm,7,09/22/2017,,10/24/2017,12/06/2017,https://www.chicagocopa.org/case/1086830/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2020-0000601,02/03/2020 12:03 pm,17,02/04/2020,,03/10/2022,10/07/2022,https://www.chicagocopa.org/case/2020-0000601/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2020-0004171,09/02/2020 8:00 pm,06,09/04/2020,,03/11/2022,10/05/2022,https://www.chicagocopa.org/case/2020-0004171/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2021-0003606,09/12/2021 2:00 am,15,09/12/2021,,03/31/2022,10/05/2022,https://www.chicagocopa.org/case/2021-0003606/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2021-0003426,08/13/2021 10:43 pm,24,08/30/2021,,03/30/2022,09/27/2022,https://www.chicagocopa.org/case/2021-0003426/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1056161,08/07/2012 7:15 pm,8.0,08/08/2012,,03/27/2018,08/26/2020,https://www.chicagocopa.org/case/1056161/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2020-0000573,02/02/2020 1:30 pm,,02/03/2020,,06/30/2021,02/09/2022,https://www.chicagocopa.org/case/2020-0000573/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2020-0000062,01/04/2020 3:39 pm,4.0,01/04/2020,,10/07/2021,05/25/2022,https://www.chicagocopa.org/case/2020-0000062/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2020-0002881,06/24/2020 11:26 pm,4,06/24/2020,09/18/2020,04/07/2023,10/05/2023,https://www.chicagocopa.org/case/2020-0002881/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2020-0001671,04/28/2020 12:15 am,5,04/28/2020,,04/29/2022,05/18/2023,https://www.chicagocopa.org/case/2020-0001671/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1085331,05/24/2017 11:14 am,25,05/24/2017,07/31/2019,07/31/2020,04/13/2023,https://www.chicagocopa.org/case/2017-1085331/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1087518,11/15/2017 10:00 am,2,11/15/2017,02/07/2019,12/31/2019,09/14/2023,https://www.chicagocopa.org/case/2017-1087518/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1091907,12/05/2018 10:37 pm,14,12/05/2018,,06/27/2019,08/06/2019,https://www.chicagocopa.org/case/2018-1091907/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1091909,12/05/2018 11:24 pm,11,12/05/2018,,09/28/2022,12/14/2023,https://www.chicagocopa.org/case/2018-1091909/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1091779,11/20/2018 11:26 am,22,11/20/2018,,08/31/2021,03/16/2023,https://www.chicagocopa.org/case/2018-1091779/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1091725,11/14/2018 3:14 pm,11,11/14/2018,,12/20/2022,06/29/2023,https://www.chicagocopa.org/case/2018-1091725/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1091592,10/31/2018 7:12 pm,6,10/31/2018,12/28/2018,09/30/2022,06/22/2023,https://www.chicagocopa.org/case/2018-1091592/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1091275,10/04/2018 3:55 pm,17,10/04/2018,12/03/2018,02/11/2021,02/11/2021,https://www.chicagocopa.org/case/2018-1091275/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1090601,08/13/2018 1:07 am,5,08/13/2018,10/12/2018,09/01/2022,06/22/2023,https://www.chicagocopa.org/case/2018-1090601/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1090501,08/02/2018 1:29 pm,22,08/02/2018,10/01/2018,07/30/2019,10/29/2019,https://www.chicagocopa.org/case/2018-1090501/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1090072,07/02/2018 9:32 pm,4,07/02/2018,,10/14/2022,06/29/2023,https://www.chicagocopa.org/case/2018-1090072/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1090089,07/04/2018 2:40 am,15,07/04/2018,,12/02/2022,07/27/2023,https://www.chicagocopa.org/case/2018-1090089/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1089983,06/24/2018 9:30 pm,19,06/25/2018,,07/27/2020,10/07/2020,https://www.chicagocopa.org/case/2018-1089983/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1089886,06/16/2018 2:24 am,4,06/16/2018,08/15/2018,11/30/2022,06/29/2023,https://www.chicagocopa.org/case/2018-1089886/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1089608,05/26/2018 2:46 am,15,05/26/2018,07/25/2018,09/30/2022,06/22/2023,https://www.chicagocopa.org/case/2018-1089608/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1089338,05/09/2018 3:18 am,9,05/04/2018,07/17/2018,10/13/2022,07/06/2023,https://www.chicagocopa.org/case/2018-1089338/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1089164,04/20/2018 12:58 pm,24,04/20/2018,,11/19/2019,08/31/2023,https://www.chicagocopa.org/case/2018-1089164/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1088756,03/13/2018 11:50 am,9,03/13/2018,10/24/2018,11/09/2022,06/15/2023,https://www.chicagocopa.org/case/2018-1088756/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1088719,03/09/2018 12:53 pm,3,03/09/2018,,08/29/2022,03/30/2023,https://www.chicagocopa.org/case/2018-1088719/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1088587,02/25/2018 7:59 pm,9,02/25/2018,04/26/2018,10/31/2022,03/23/2023,https://www.chicagocopa.org/case/2018-1088587/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1088269,01/25/2018 3:19 pm,6,01/25/2018,03/26/2018,08/28/2019,08/24/2023,https://www.chicagocopa.org/case/2018-1088269/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1088208,01/20/2018 5:28 am,6,01/20/2018,,09/30/2022,06/22/2023,https://www.chicagocopa.org/case/2018-1088208/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2018-1088133,01/16/2018 2:59 am,4,01/15/2018,,07/26/2022,06/22/2023,https://www.chicagocopa.org/case/2018-1088133/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1087759,12/06/2017 11:22 pm,05,12/07/2017,,10/31/2022,06/29/2023,https://www.chicagocopa.org/case/2017-1087759/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1087703,12/01/2017 7:00 pm,22,12/01/2017,,08/01/2018,07/06/2023,https://www.chicagocopa.org/case/2017-1087703/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1087843,12/17/2017 2:45 am,16,12/17/2017,01/24/2018,10/29/2018,07/20/2023,https://www.chicagocopa.org/case/2017-1087843/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1087387,11/28/2017 1:43 am,03,11/05/2017,,12/20/2022,06/29/2023,https://www.chicagocopa.org/case/2017-1087387/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1087037,09/12/2016 5:00 pm,11,10/06/2017,12/05/2017,04/18/2018,01/30/2023,https://www.chicagocopa.org/case/1087037/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1087018,10/05/2017 12:35 pm,06,10/05/2017,,09/30/2022,06/22/2023,https://www.chicagocopa.org/case/2017-1087018/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2017-1086925,09/28/2017 9:03 pm,25,09/28/2017,11/27/2017,02/27/2018,08/03/2023,https://www.chicagocopa.org/case/2017-1086925/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
